external_ref,profession,opportunity_type,slug,title,organisation,job_type,location_state,location_city,role,qualification_summary,experience_min_years,experience_max_years,salary_min,salary_max,salary_raw,vacancy_count,application_start,application_deadline,exam_date,status,description_simple,official_notification_url,application_url,source_url,source_type,last_verified_at,curator,notes
"NORCET-2026","nursing","exam","aiims-new-delhi-central-government-hospitals-norcet-2026-nursing-officer-recruitment-common-eligibility-test","NORCET 2026 (Nursing Officer Recruitment Common Eligibility Test)","AIIMS New Delhi & Central Government Hospitals","","","","nursing_officer","B.Sc. (Hons.) Nursing / B.Sc. Nursing / Post Basic / GNM with 2 yrs exp","0","","531000","1678000","7th CPC Pay Matrix Level 7 (Rs. 44,900 - 1,42,400)","2218","2026-07-24","2026-08-13","2026-09-12","closed","What is this?
A national recruitment examination for NORCET 2026 at AIIMS New Delhi & participating AIIMS institutes (2,218 posts announced).

Who can apply?
B.Sc. Nursing / Post Basic (0 exp) OR GNM with 2 yrs clinical experience in 50+ bed hospital.

Important dates:
Applications closed on 13 August 2026. Admit cards release on 09 September 2026. Stage 1 CBT on 12 September 2026.

What happens next?
Stage 1 Preliminary CBT (100 MCQs) followed by Stage 2 Mains CBT (160 MCQs) and centralized institute allocation.","https://www.aiimsexams.ac.in","https://www.aiimsexams.ac.in","https://www.aiimsexams.ac.in","official","2026-08-27","SkillCase Editorial Team","Flagship national exam; application window closed, examination phase active."
"AIIMS-DELHI-NO-2026","nursing","job","aiims-new-delhi-nursing-officer-group-b-2026","Nursing Officer (Group B - AIIMS New Delhi Cadre via NORCET)","AIIMS New Delhi","government","Delhi","New Delhi (Ansari Nagar)","nursing_officer","B.Sc. (Hons.) Nursing / B.Sc. Nursing / Post Basic B.Sc. OR GNM with 2 yrs exp","0","","531000","1678000","Level 7 Pay Matrix (Rs. 44,900 - 1,42,400)","450","2026-07-24","2026-08-13","2026-09-12","closed","What is this?
Nursing Officer cadre vacancy allocation for AIIMS New Delhi (450 posts filled via NORCET-11 merit rank list).

Who can apply?
B.Sc. Nursing (0 exp) OR GNM with 2 yrs experience in min 50 bed hospital.

Selection Process:
Centralized selection via AIIMS NORCET examination score and choice preference portal.","https://www.aiimsexams.ac.in","https://www.aiimsexams.ac.in","https://www.aiims.edu","official","2026-08-27","SkillCase Editorial Team","Allocated via NORCET common eligibility merit list."
"ESIC-NO-2026","nursing","job","employees-state-insurance-corporation-esic-esic-nursing-officer-recruitment-2026","ESIC Nursing Officer Recruitment 2026","Employees State Insurance Corporation (ESIC)","government","Maharashtra","Mumbai & Regional Model Hospitals","nursing_officer","B.Sc. Nursing or GNM with 1 yr clinical experience in 50-bed hospital","0","","538000","1550000","Level 7 (Rs. 44,900 - 1,42,400)","523","2026-08-05","2026-09-20","","open","What is this?
A permanent government vacancy for ESIC Nursing Officer Recruitment 2026 (523 posts announced).

Who can apply?
B.Sc. Nursing (0 exp) OR GNM with 1 yr clinical experience in 50-bed hospital. Age up to 30 years.

Important dates:
Applications close on 20 September 2026.","https://www.esic.gov.in","https://upsconline.nic.in","https://www.esic.gov.in","official","2026-08-27","SkillCase Editorial Team","UPSC written recruitment test."
"RRB-NURSE-2026","nursing","exam","railway-recruitment-boards-indian-railways-rrb-nursing-superintendent-staff-nurse-examination-2026","RRB Nursing Superintendent / Staff Nurse Examination 2026","Railway Recruitment Boards (Indian Railways)","","","","staff_nurse","GNM 3 yrs course or B.Sc. Nursing with State / INC Registration","0","","538000","1550000","7th CPC Level 7 (Rs. 44,900 Initial Pay) + Railway Allowances","713","2026-08-17","2026-09-16","2026-11-20","open","What is this?
A national recruitment examination for RRB Nursing Superintendent Examination 2026 (713 posts announced).

Who can apply?
GNM 3 yrs course or B.Sc. Nursing with State / INC Registration. Age 20–40 years.

Important dates:
Applications close on 16 September 2026. Examination scheduled for 20 November 2026.","https://www.rrbapply.gov.in","https://www.rrbapply.gov.in","https://indianrailways.gov.in","official","2026-08-27","SkillCase Editorial Team","CEN 04/2026 Paramedical category."
"DSSSB-NO-2026","nursing","job","delhi-subordinate-services-selection-board-dsssb-dsssb-nursing-officer-health-family-welfare-department-2026","DSSSB Nursing Officer (Health & Family Welfare Department)","Delhi Subordinate Services Selection Board (DSSSB)","government","Delhi","New Delhi (Govt of NCT of Delhi)","nursing_officer","B.Sc. Nursing or GNM + 1 yr exp + Delhi Nursing Council Registration","0","","531000","1678000","Group B Pay Level 7 (Rs. 44,900 - 1,42,400)","1507","2026-08-10","2026-09-15","","open","What is this?
A Delhi State Government vacancy for 1,507 Nursing Officer posts under Directorate of Health Services.

Who can apply?
B.Sc. Nursing (0 exp) OR GNM with 1 yr clinical experience in 50-bed hospital + Delhi Nursing Council (DNC) registration. Age up to 30 years.

Important dates:
Applications close on 15 September 2026.","https://dsssb.delhi.gov.in","https://dsssbonline.nic.in","https://dsssb.delhi.gov.in","official","2026-08-27","SkillCase Editorial Team","Post Code 02/24."
"JIPMER-NO-2026","nursing","job","jipmer-nursing-officer-recruitment-2026","JIPMER Nursing Officer Recruitment 2026","Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER)","government","Puducherry","Puducherry & Karaikal","nursing_officer","B.Sc. Nursing (0 exp) or GNM with 2 years clinical experience in min 50 bedded hospital","0","","531000","1678000","Level 7 Pay Matrix (Rs. 44,900 - 1,42,400)","180","2026-08-01","2026-09-10","","open","What is this?
A central government vacancy for Nursing Officer at JIPMER Puducherry (180 posts announced).

Who can apply?
B.Sc. Nursing (0 exp) OR GNM with 2 years clinical experience in min 50 bedded hospital. Age up to 35 years.

Important dates:
Applications close on 10 September 2026.","https://www.jipmer.edu.in","https://www.jipmer.edu.in","https://www.jipmer.edu.in","official","2026-08-27","SkillCase Editorial Team","Online CBT + Skill test."
"KAR-KPSC-NURSE-2026","nursing","job","karnataka-public-service-commission-kpsc-staff-nurse-directorate-of-health-family-welfare-services-2026","Staff Nurse (Directorate of Health & Family Welfare Services)","Karnataka Public Service Commission (KPSC)","government","Karnataka","Bangalore & District Hospitals","staff_nurse","B.Sc. Nursing / GNM from KNC recognized institution","0","","400000","780000","Rs. 33,450 - 62,600 (Karnataka State Pay Scale)","840","2026-08-12","2026-09-24","","open","What is this?
A government vacancy for 840 Staff Nurse posts at Karnataka Public Service Commission.

Who can apply?
B.Sc. Nursing / GNM with Karnataka Nursing Council (KNC) registration.

Important dates:
Applications close on 24 September 2026.","https://kpsc.karnataka.gov.in","https://kpsc.karnataka.gov.in","https://kpsc.karnataka.gov.in","official","2026-08-27","SkillCase Editorial Team","State cadre."
"MAHA-DHS-NURSE-2026","nursing","job","directorate-of-health-services-dhs-maharashtra-staff-nurse-arogya-seva-mandal-2026","Staff Nurse (Arogya Seva Mandal)","Directorate of Health Services (DHS Maharashtra)","government","Maharashtra","Pune, Nagpur, Mumbai & District Civil Hospitals","staff_nurse","B.Sc. Nursing or GNM with MNC registration","0","","420000","900000","Pay Matrix Level S-10 (Rs. 35,400 - 1,12,400)","650","2026-08-18","2026-09-30","","open","What is this?
A government vacancy for 650 Staff Nurse posts at DHS Maharashtra.

Who can apply?
B.Sc. Nursing or GNM with Maharashtra Nursing Council (MNC) registration.

Important dates:
Applications close on 30 September 2026.","https://arogya.maharashtra.gov.in","https://arogya.maharashtra.gov.in","https://arogya.maharashtra.gov.in","official","2026-08-27","SkillCase Editorial Team","State health services."
"TN-MRB-NURSE-2026","nursing","exam","medical-services-recruitment-board-tn-mrb-nurses-recruitment-examination-2026","Nurses Recruitment Examination 2026","Medical Services Recruitment Board (TN MRB)","","","","staff_nurse","Diploma in Nursing (GNM) or B.Sc. Nursing with TNC Registration","0","","430000","920000","Pay Scale Level 10 (Rs. 35,900 - 1,13,500)","980","2026-08-10","2026-09-20","2026-11-15","open","What is this?
A state recruitment examination for Nurses Recruitment Examination 2026 at TN MRB (980 posts announced).

Who can apply?
Diploma in Nursing (GNM) or B.Sc. Nursing with TNC Registration.

Important dates:
Applications close on 20 September 2026. Examination scheduled for 15 November 2026.","https://www.mrb.tn.gov.in","https://www.mrb.tn.gov.in","https://www.mrb.tn.gov.in","official","2026-08-27","SkillCase Editorial Team","Tamil language test applicable."
"KERALA-PSC-NURSE-2026","nursing","job","kerala-public-service-commission-kerala-psc-staff-nurse-grade-ii-health-services-department-2026","Staff Nurse Grade II (Health Services Department)","Kerala Public Service Commission (Kerala PSC)","government","Kerala","Thiruvananthapuram, Kochi, Kozhikode & All Districts","staff_nurse","B.Sc. Nursing or GNM with KNMC Registration","0","","470000","980000","Scale of Pay Rs. 39,300 - 83,000 (Kerala Revised Pay)","420","2026-08-01","2026-09-15","","open","What is this?
A permanent government vacancy for 420 Staff Nurse Grade II posts at Kerala Public Service Commission.

Who can apply?
B.Sc. Nursing or GNM with Kerala Nurses and Midwives Council (KNMC) registration.

Important dates:
Applications close on 15 September 2026.","https://www.keralapsc.gov.in","https://thulasi.psc.kerala.gov.in","https://www.keralapsc.gov.in","official","2026-08-27","SkillCase Editorial Team","Category No 2026/04."
