external_ref,requirement_kind,operator,value_numeric,value_text,is_mandatory,or_group,raw_text,simple_text,remedy_text
"NORCET-2026","qualification","in","","bsc_nursing|msc","TRUE","norcet_path_bsc","B.Sc. (Hons.) Nursing / B.Sc. Nursing from an INC recognized Institute (No experience required)","B.Sc. Nursing graduates qualify with zero experience (Path 1)","Graduate with B.Sc. Nursing degree."
"NORCET-2026","qualification","in","","post_basic","TRUE","norcet_path_bsc","B.Sc. (Post-Certificate) / Post-Basic B.Sc. Nursing from an INC recognized Institute","Post Basic B.Sc. Nursing qualifies with zero experience (Path 1)","Complete Post Basic B.Sc. Nursing."
"NORCET-2026","qualification","in","","gnm","TRUE","norcet_path_gnm","Diploma in General Nursing and Midwifery (GNM) with two years experience in min 50 bedded hospital","GNM diploma holders (Path 2)","Complete GNM and complete 2 years of 50+ bed clinical hospital service."
"NORCET-2026","experience","gte","2","","TRUE","norcet_path_gnm","Two years experience in minimum 50 bedded hospital after GNM qualification","2 years of clinical hospital experience in 50+ bed hospital (for GNM)","Gain 2 years of clinical hospital service in a recognized facility."
"NORCET-2026","registration","exists","","","TRUE","","Registered as Nurses & Midwife with State / Indian Nursing Council","Valid registration with INC or State Nursing Council","Register or renew your license with your State Nursing Council."
"NORCET-2026","age","lte","30","","TRUE","","Between 18 and 30 Years as on 13 August 2026 (relaxations applicable as per rules)","Age must be 30 years or under on the closing date","Check age relaxation categories in the official notification."
"AIIMS-DELHI-NO-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","aiims_path_bsc","B.Sc. (Hons.) Nursing / B.Sc. Nursing / Post Basic B.Sc. from INC recognized Institute (0 exp required)","B.Sc. Nursing / Post Basic (0 exp required) (Path 1)","Complete B.Sc. Nursing."
"AIIMS-DELHI-NO-2026","qualification","in","","gnm","TRUE","aiims_path_gnm","Diploma in General Nursing and Midwifery (GNM) with 2 years experience in min 50 bed hospital","GNM Diploma with 2 years experience (Path 2)","Complete GNM and complete 2 years of hospital service."
"AIIMS-DELHI-NO-2026","experience","gte","2","","TRUE","aiims_path_gnm","Two years experience in minimum 50 bedded hospital after GNM qualification","2 years of clinical hospital experience in 50+ bed hospital (for GNM)","Gain 2 years of clinical hospital service."
"AIIMS-DELHI-NO-2026","registration","exists","","","TRUE","","Registered as Nurses & Midwife with State / Indian Nursing Council","Valid registration with INC or State Nursing Council","Register with State Nursing Council or INC."
"AIIMS-DELHI-NO-2026","age","lte","30","","TRUE","","Between 18 and 30 Years on closing date","Age 30 years or under","Verify age relaxation categories."
"ESIC-NO-2026","qualification","in","","bsc_nursing|post_basic|msc","TRUE","esic_path_bsc","B.Sc. (Hons.) Nursing / B.Sc. Nursing / Post Basic B.Sc. from INC recognized Institute (0 exp required)","B.Sc. Nursing / Post Basic (0 exp required) (Path 1)","Complete B.Sc. Nursing."
"ESIC-NO-2026","qualification","in","","gnm","TRUE","esic_path_gnm","Diploma in General Nursing and Midwifery (GNM) with 1 year clinical experience in 50 bedded hospital","GNM Diploma with 1 year experience (Path 2)","Complete GNM Diploma and 1 year hospital experience."
"ESIC-NO-2026","experience","gte","1","","TRUE","esic_path_gnm","1 year clinical experience in a minimum 50 bedded hospital after GNM","1 year clinical experience in 50-bed hospital (for GNM)","Complete 1 year clinical service in a recognized 50+ bed hospital."
"ESIC-NO-2026","registration","exists","","","TRUE","","Registered as a Nurse and Midwife with State Nursing Council","State Nursing Council registration certificate","Ensure your RN/RM registration is active."
"ESIC-NO-2026","age","lte","30","","TRUE","","Not exceeding 30 years for UR/EWS candidates","Maximum age 30 years on closing date","Check OBC/SC/ST age relaxation."
"RRB-NURSE-2026","qualification","in","","gnm|bsc_nursing|post_basic|msc","TRUE","","Certificate as Registered Nurse and Midwife having passed 3 years course in General Nursing and Midwifery (GNM) or B.Sc. Nursing","GNM diploma or B.Sc. Nursing degree","Complete GNM or B.Sc. Nursing."
"RRB-NURSE-2026","registration","exists","","","TRUE","","Registered as Nurse and Midwife with Indian Nursing Council or State Nursing Council","Valid INC / State Nursing Council Registration","Ensure active council registration."
